x_in,Vy_lbf,My_lbf_in,Vz_lbf,Mz_lbf_in,Vr_lbf,Mr_lbf_in,T_lbf_in
0.0,75.0,0.0,0.0,0.0,75.0,0.0,562.5
1.75,75.0,131.25,0.0,0.0,75.0,131.25,562.5
2.25,57.29571428571394,168.73861542073246,141.97428571428824,0.0912952680357596,160.50449945701374,168.73864446859284,562.5
2.75,54.17142857142855,195.83571428571426,167.02857142857135,83.51428571428568,175.5935287729555,212.89984345191206,562.5
9.75,54.17142857142855,575.0357142857141,167.02857142857135,1252.714285714285,175.5935287729555,1378.3900594841389,562.5
10.38,-19.74857142864026,608.9444260319272,-60.89142857164086,1357.2661469317754,307.0352872226665,1487.6104038375915,215.9999999996774
11.0,-185.82857142857145,493.95,-572.9714285714286,1002.6999999999999,602.3524847781134,1117.7629001892776,-562.5
12.25,-185.82857142857145,261.66428571428565,-572.9714285714286,286.48571428571404,602.3524847781134,387.99812867403125,-562.5
12.75,-169.20428571428573,168.81057720573227,-487.02571428571434,0.3131774384515045,523.2496120613964,168.81091885484042,-562.5
13.25,-75.0,131.24999999999994,0.0,-2.396897495297432e-13,75.0,131.24999999999994,-562.5
15.0,0.0,5.684341886080802e-14,0.0,2.2737367544323206e-13,0.0,2.3437142008433856e-13,0.0
